"tk","territory","lat","lon"
"16562","ΓΛΥΦΑΔΑ ΤΕΡΨΙΘΕΑ","37.8931223","23.7702"
"16671","ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ","37.81848345156462","23.77699232142092"
"16672","ΒΑΡΗ","37.8334351","23.802873"
"16673","ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ","37.8523416","23.772468300000003"
"16674","ΓΛΥΦΑΔΑ","37.8619956","23.7541813"
"16675","ΓΛΥΦΑΔΑ","37.8640519","23.7454264"
"16777","ΕΛΛΗΝΙΚΟ ΑΓΙΑ ΠΑΡΑΣΚΕΥ","37.904557","23.7423393"
"17121","ΝΕΑ ΣΜΥΡΝΗ ΓΗΠ.ΠΑΝΙΩΝΙ","37.9442881","23.7117556"
"17122","ΝΕΑ ΣΜΥΡΝΗ","37.9407215","23.7104113"
"17123","ΝΕΑ ΣΜΥΡΝΗ ΠΛΑΤΕΙΑ ΗΡ.ΚΥΠΡΟ","37.93773090000001","23.7162886"
"17124","ΝΕΑ ΣΜΥΡΝΗ ΑΝΩ ΝΕΑ ΣΜΥΡΝ","37.94453985666967","23.722470912038144"
"17234","ΔΑΦΝΗ Α.ΔΑΦΝΗ","37.95198598202516","23.729778028202634"
"17235","ΔΑΦΝΗ","37.9505331","23.7347983"
"17236","ΥΜΗΤΤΟΣ ΚΑΛΥΚΟΠΟΙΕΙΟ","37.95196710000001","23.744877"
"17237","ΥΜΗΤΤΟΣ ΠΑΡ.ΑΛΕΞΑΝ","37.9525906","23.746452800000004"
"17341","ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ","37.9394366","23.7312607"
"17342","ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ ΕΘ ΝΕΑ ΑΝΤΙΣ","37.9341226","23.7205138"
"17343","ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ ΑΝΟΙΞΗ","37.9395169","23.7318733"
"17455","ΑΛΙΜΟΣ ΚΑΛΑΜΑΚΙ","37.91204260000001","23.7098513"
"17456","ΑΛΙΜΟΣ ΕΚΤΕΛΩΝΙΣΤΩΝ","37.921968","23.736418399999998"
"17561","Π.ΦΑΛΗΡΟ","37.93021407594268","23.691022204805524"
"17562","Π.ΦΑΛΗΡΟ","37.92493889509953","23.701583845051474"
"17563","Π.ΦΑΛΗΡΟ","37.92677124135953","23.709290535183573"
"17564","Π.ΦΑΛΗΡΟ ΑΜΦΙΘΕΑ","37.941897","23.6898832"
"17671","ΚΑΛΛΙΘΕΑ ΧΑΡΟΚΟΠΟΥ","37.95743020000001","23.7107086"
"17672","ΚΑΛΛΙΘΕΑ ΧΑΡΟΚΟΠΟΥ","37.9550651","23.7093329"
"17673","ΚΑΛΛΙΘΕΑ ΜΕΤΑΜΟΡΦΩΣΗ","37.9492563","23.693986300000002"
"17674","ΚΑΛΛΙΘΕΑ ΤΖΙΤΖΙΦΙΕΣ","37.9451122","23.686747399999998"
"17675","ΚΑΛΛΙΘΕΑ ΑΓΙΑ ΕΛΕΟΥΣΑ","37.95456970000001","23.6942572"
"17676","ΚΑΛΛΙΘΕΑ ΠΛΑΤΕΙΑ ΚΑΛΛΙΘΕΑ","37.960843032618506","23.70513671792822"
"17778","ΤΑΥΡΟΣ","37.9709961","23.6916685"
"18010","ΑΙΓΙΝΑ","37.7474254","23.429189899999997"
"18020","ΠΟΡΟΣ","37.50024929999999","23.455073300000002"
"18030","ΜΕΘΑΝΑ","37.58239860000001","23.388526199999998"
"18040","ΥΔΡΑ","37.3466624","23.4659497"
"18050","ΣΠΕΤΣΕΣ","37.2632783","23.157172199999998"
"18120","ΚΟΡΥΔΑΛΛΟΣ ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ","37.977556299999996","23.648135"
"18121","ΚΟΡΥΔΑΛΛΟΣ ΦΥΛΑΚΕΣ","37.9838044","23.652488"
"18122","ΚΟΡΥΔΑΛΛΟΣ ΧΩΜΑΤΕΡΗ","37.99386985293427","23.642804489627515"
"18233","ΑΓΙΑ Ι.ΡΕΝΤΗΣ","37.964925","23.6651046"
"18344","ΜΟΣΧΑΤΟ","37.9461725","23.678281100000003"
"18345","ΜΟΣΧΑΤΟ","37.9531249","23.6816363"
"18346","ΜΟΣΧΑΤΟ","37.95834779999999","23.685446399999996"
"18450","ΝΙΚΑΙΑ ΑΓΙΑ ΧΡΥΣΟΣΤΟΜΟ","37.9701123","23.6423642"
"18451","ΝΙΚΑΙΑ ΝΕΑΠΟΛΗΣ","37.972929328186716","23.63754359797166"
